#t              L_tot_x        L_tot_y        L_tot_z        
         10.214     682208.755     139415.621   -1020832.990
         10.286    1084754.602     250456.264   -1094542.775
         10.357    1094637.794     255359.978   -1095906.028
         10.429    1077920.083     228122.606   -1128727.221
         10.500    1064594.730     275415.309   -1093951.399
         10.571    1116133.481     267994.171   -1083433.566
         10.643     987069.205     206258.039   -1025676.617
         10.714    1328594.802     279891.023   -1219080.370
         10.786    1118156.351     233688.668   -1135362.845
         10.857     928539.688     193115.980   -1042583.672
         10.929    1048144.771     218033.359    -993193.148
         11.000     988886.705     208470.426   -1220495.312
         11.071    1028704.654     215270.961   -1128270.821
         11.143    1172308.816     244352.061   -1289475.844
         11.214     725218.080     159112.045    -989832.838
         11.286    1302989.489     266511.516   -1161675.728
         11.357     924464.041     195405.187   -1280814.951
