#t              L_tot_x        L_tot_y        L_tot_z        
          0.000     -18674.736      26231.911      10455.746
          0.071     -23611.810      36765.786       8144.919
          0.143     -17238.293      29049.079       9065.843
          0.214     -18577.576      32981.629       7217.372
          0.286     -20181.674      21032.352      12573.112
          0.357     -30158.997      34961.375       9246.069
          0.429     -28260.791      31008.297       9669.649
          0.500     -33955.130      38307.866       6013.069
          0.571     -11188.561      24504.816       6543.327
          0.643     -31219.820      54377.842      -5372.983
          0.714     -37476.015      55615.864      -4912.235
          0.786     -16333.610      48061.930      -9317.075
          0.857      -5778.880      64157.229     -26320.888
          0.929      -5837.138      53183.354     -26263.922
          1.000     -15600.372      71527.625     -27996.517
          1.071       7824.778      92566.908     -65246.834
          1.143        478.394      73148.800     -47405.671
          1.214       8739.190      88478.860     -68368.737
          1.286      13142.256      48244.156     -66592.151
          1.357      16521.923     115162.137     -75924.952
          1.429       8909.564      96860.643     -62189.839
          1.500      23390.327      85198.523     -98369.814
          1.571      19123.212     114927.362     -77412.465
          1.643       1186.845      43593.876     -60135.240
          1.714      12297.040      62014.927     -81059.057
          1.786      14851.398      47313.843    -109216.263
          1.857     -14135.160      62973.706     -46590.860
          1.929     -13312.957      63046.073     -46166.834
          2.000      11953.252     115534.318     -19856.268
          2.071      33304.484     108284.071    -107601.464
          2.143      12967.122      91575.614     -47845.180
          2.214      25350.906     106445.838     -76297.536
          2.286      13426.607      67192.901    -109589.555
          2.357      14624.917      85591.184     -55430.468
          2.429      11903.652      66369.513     -89167.286
          2.500       4503.630      57861.599     -73195.041
          2.571       7789.622      71486.369     -47867.231
          2.643       5968.933      63290.629     -51261.881
          2.714      17173.735      82457.036     -63821.529
          2.786      20587.054      84119.874     -81597.517
          2.857      14484.076      68540.615     -44986.915
          2.929      21693.418      77349.029     -41582.156
          3.000      17879.657      66528.196     -68291.098
          3.071      33711.057      91914.439     -62422.461
          3.143      43901.238      97227.516     -35555.142
          3.214      29654.587      69095.199     -67944.670
          3.286      38282.292      68384.398     -65677.213
          3.357      46635.974      73093.791     -66928.200
          3.429      55946.069      77795.512     -70632.485
          3.500      70237.458      80187.624     -70030.081
          3.571     119537.314     126612.306     -33798.438
          3.643     165630.437     133050.960     -24699.588
          3.714     217217.735     121269.560     -39830.808
          3.786     298712.687     131344.048     -36039.210
          3.857     422940.117     145536.342     -34824.496
          3.929     697042.608     146502.535    -126531.699
          4.000    1055151.801     118560.534    -380827.302
          4.071    1031219.893     126083.248    -614216.638
          4.143    1208015.312     135921.585    -649838.812
          4.214    1007997.816     147912.089    -758614.005
          4.286     893883.425     224687.395    -852027.769
          4.357    1023122.334     172514.007    -863831.167
          4.429    1067817.217     146380.201    -857503.827
          4.500     891396.987     262359.731    -940947.634
          4.571     937672.600     241083.162    -954762.402
          4.643     982807.267     247807.363   -1028724.686
          4.714     897658.875     273067.944    -988631.979
          4.786     974132.520     230195.597   -1013952.796
          4.857     957425.260     309833.451   -1088221.042
          4.929     977945.253     264396.567   -1075184.677
          5.000     999040.482     248303.965   -1086422.143
          5.071    1079186.685     180835.733   -1127012.485
          5.143     838957.916     165913.729    -887141.166
          5.214    1095148.623     251507.727   -1219090.179
          5.286    1097714.290     277301.604   -1235913.892
          5.357    1126200.291     341816.446   -1292441.080
          5.429    1233165.701     282925.782   -1414799.943
          5.500    1224091.073     335843.476   -1405441.196
          5.571    1352183.817     424066.830   -1531126.839
          5.643    1421946.926     379381.698   -1664750.872
          5.714    1660433.556     503451.251   -1868341.450
          5.786    1866239.989     525215.978   -2230002.516
          5.857    2064103.329     439893.150   -2970226.239
          5.929    1362394.686     262139.373   -2065743.265
          6.000    1220812.403     263195.352   -1687566.854
          6.071     880889.233     201419.074    -891251.442
          6.143     601978.606     154821.427    -370966.370
          6.214     248368.751     111636.310     429537.119
          6.286     572166.861     131839.673    -582997.794
          6.357     831982.516     186734.163   -1026792.859
          6.429     872875.218     227889.096    -834358.823
          6.500     684786.106     139635.949    -879046.763
          6.571     766179.900     182938.487    -807572.956
          6.643    1038192.744     288808.848    -829217.190
          6.714     894527.989     250263.502    -638883.369
          6.786     895883.443     240401.852    -618651.599
          6.857     638264.851     146044.205    -602208.345
          6.929     803734.987     197749.936    -752428.021
          7.000     692450.630     146434.142    -898759.510
          7.071     649771.251     141844.778    -694020.205
          7.143     745126.536     188514.802    -536180.808
          7.214     586929.008     103586.453    -921150.333
          7.286     690686.310     143015.965    -934671.164
          7.357     834651.935     203209.605    -908171.811
          7.429     800016.145     192279.421    -829290.906
          7.500     694857.380     185881.987    -799131.333
          7.571     719280.373     189802.813    -795936.852
          7.643     709783.239     193401.793    -795764.246
          7.714     670429.634     152230.274    -665322.944
          7.786     516443.226      73453.752    -911665.939
          7.857     712372.525     162825.940    -765520.247
          7.929     748031.860     169003.301    -880335.797
          8.000     537589.474      72765.347   -1034683.183
          8.071     590106.564      99845.537    -965705.218
          8.143     543829.619     108627.079    -654442.482
          8.214     833823.543     198443.447    -924248.966
          8.286     956343.253     237402.248    -974745.967
          8.357     596410.626     120247.327    -705865.219
          8.429     939899.481     236368.767    -967615.960
          8.500     855618.005     225070.065    -696943.186
          8.571     919695.621     239084.727    -789001.318
          8.643     588035.318     109593.718    -817318.276
          8.714     721540.483     174503.264    -620895.901
          8.786     599554.365     103691.037    -912166.548
          8.857     757917.473     168530.014    -893866.557
          8.929     704864.787     168261.881    -625094.929
          9.000     716559.197     154367.972    -848098.233
          9.071     991050.028     277001.482    -803158.317
          9.143     890644.645     217253.471    -986260.140
          9.214     665601.902     145259.199    -697894.081
          9.286     576361.972     127002.336    -501309.301
          9.357     736042.475     149144.890    -958299.569
          9.429     580062.827      83234.345    -909671.694
          9.500     597307.573     107375.173    -766604.052
          9.571     566523.641     118979.682    -543036.069
          9.643     733146.681     182905.574    -655234.838
          9.714     646801.790     125954.009    -790348.731
          9.786     698385.553     141643.533    -853336.664
          9.857     607447.991     108081.994    -791446.897
          9.929     798960.018     187542.491    -864389.685
         10.000     729004.696     155967.277    -856999.538
         10.071     829237.146     205631.371    -817380.202
         10.143     853022.286     207883.259    -898084.711
         10.214     761046.744     170583.099    -863175.862
         10.286     988280.329     285429.534    -734061.749
         10.357     833265.181     214126.259    -763304.769
         10.429     696885.408     146460.191    -813571.521
         10.500     679428.344     117335.047   -1011723.810
         10.571     769927.864     213863.129    -484419.852
         10.643     488733.640      48936.930    -826974.801
         10.714     617117.997     113186.629    -783219.071
         10.786     575980.924      96707.851    -751937.145
         10.857     749750.610     182748.787    -709307.943
         10.929     643884.607     118366.976    -825674.311
         11.000     706068.670     176124.441    -626105.957
         11.071     837973.917     246473.408    -578243.388
         11.143     898737.031     230262.125    -881791.745
         11.214     601805.212      92359.803    -849715.712
         11.286     897022.979     232962.275    -852640.359
         11.357     873744.230     248862.223    -658034.191
