#t         L_tot_x    L_tot_y    L_tot_z    
      0.000    -52.055    -41.786  -9517.277
      0.071    -52.782    -17.017  -9485.722
      0.143    -25.527    -22.713  -9455.810
      0.214      1.778    -25.514  -9441.513
      0.286     12.285    -32.218  -9439.377
      0.357      3.611    -31.191  -9456.830
      0.429    -20.443    -34.211  -9469.035
      0.500    -23.981    -14.336  -9443.467
      0.571    -34.922     -1.516  -9425.268
      0.643    -26.685    -19.713  -9430.236
      0.714     -7.143    -23.538  -9433.604
      0.786     -6.922      2.078  -9433.821
      0.857      9.591     32.235  -9455.581
      0.929     10.780     13.777  -9450.464
      1.000     27.560      9.334  -9431.430
      1.071     26.379    -14.344  -9428.636
      1.143     31.412     -8.811  -9424.371
      1.214     47.676      2.363  -9441.255
      1.286     51.286    -13.956  -9426.377
      1.357     56.143    -22.640  -9409.183
      1.429     95.899    -26.787  -9416.282
      1.500     95.364    -26.528  -9413.233
      1.571    103.182    -28.059  -9414.998
      1.643    124.488    -24.853  -9411.911
      1.714    124.769    -23.597  -9410.326
      1.786    127.449    -45.162  -9414.018
      1.857    104.408    -34.039  -9414.993
      1.929     81.719    -32.046  -9413.116
      2.000     71.574    -33.277  -9414.561
      2.071     86.010    -11.299  -9412.510
      2.143     74.097      0.632  -9404.369
      2.214     78.055     13.629  -9405.289
      2.286     80.575     13.086  -9405.484
      2.357     69.290      2.574  -9398.766
      2.429     79.786    -13.729  -9394.662
      2.500     84.442    -24.381  -9398.941
      2.571     81.664    -23.194  -9392.873
      2.643     58.235    -20.465  -9386.252
      2.714     91.384    -27.189  -9377.296
      2.786     85.617    -12.753  -9373.219
      2.857     70.741    -21.639  -9378.522
      2.929     71.605    -28.927  -9366.898
      3.000     70.413    -26.629  -9380.120
      3.071     51.396    -19.876  -9348.228
      3.143     52.601    -32.075  -9338.379
      3.214     28.675    -60.005  -9357.583
      3.286     20.831    -70.424  -9355.370
      3.357     17.701    -68.746  -9344.005
      3.429     13.657    -83.674  -9330.663
      3.500    -12.533   -100.812  -9339.303
      3.571     -5.586   -113.455  -9331.557
      3.643    -15.476   -143.089  -9318.070
      3.714     14.396   -185.401  -9308.767
      3.786     73.002   -229.810  -9295.133
      3.857    245.593   -306.453  -9289.055
      3.929    707.093   -677.032  -9220.137
      4.000    803.294  -1680.295  -9336.663
      4.071    796.527  -1935.052  -9616.562
      4.143    938.870  -1864.755  -9494.042
      4.214   1095.773  -1842.349  -9139.509
      4.286   1231.045  -1885.561  -8856.713
      4.357   1319.366  -1936.383  -8683.720
      4.429   1390.778  -1981.967  -8568.912
      4.500   1433.808  -2012.073  -8484.779
      4.571   1458.709  -2048.077  -8422.598
      4.643   1480.678  -2082.631  -8394.524
      4.714   1516.479  -2125.908  -8369.934
      4.786   1544.285  -2125.742  -8356.569
      4.857   1564.680  -2135.357  -8345.560
      4.929   1608.372  -2141.488  -8332.545
      5.000   1663.317  -2171.272  -8318.519
      5.071   1685.814  -2197.809  -8298.288
      5.143   1699.804  -2242.256  -8277.201
      5.214   1649.754  -2357.907  -8265.063
      5.286   1485.823  -2440.360  -8302.883
      5.357   1628.455  -2581.177  -8252.936
      5.429   1754.733  -2706.471  -8196.582
      5.500   1870.382  -2784.110  -8144.925
      5.571   2030.946  -2874.399  -8077.132
      5.643   2241.504  -3026.523  -7954.998
      5.714   2581.805  -3259.297  -7686.734
      5.786   3033.538  -3847.897  -6886.292
      5.857   3578.842  -4565.564  -6109.226
      5.929   4100.478  -4437.220  -6419.794
      6.000   3685.598  -3861.150  -6324.103
      6.071   3211.781  -2985.913  -6637.563
      6.143   2541.418  -2754.957  -5646.716
      6.214   1673.977  -3578.956  -2767.947
      6.286   4338.647  -3960.543  -7882.040
      6.357   3705.264  -3354.101  -7646.815
      6.429   3468.364  -3404.101  -6599.988
      6.500   3384.117  -3471.253  -6143.524
      6.571   3214.072  -3497.484  -6201.800
      6.643   3350.479  -3718.114  -6045.766
      6.714   3212.613  -3671.412  -5971.707
      6.786   3202.159  -3587.981  -5948.090
      6.857   3041.908  -3520.248  -5944.835
      6.929   2925.945  -3469.249  -5938.570
      7.000   2949.771  -3477.215  -5878.916
      7.071   3037.949  -3436.039  -5904.121
      7.143   3023.268  -3506.004  -5851.330
      7.214   3080.181  -3587.123  -5872.646
      7.286   3158.034  -3559.499  -5813.602
      7.357   3246.731  -3571.059  -5749.082
      7.429   3377.645  -3524.511  -5736.280
      7.500   3472.127  -3584.464  -5690.025
      7.571   3540.179  -3685.747  -5596.261
