#t         L_tot_x    L_tot_y    L_tot_z    
      7.643   3627.048  -3716.214  -5573.406
      7.714   3680.070  -3752.243  -5517.056
      7.786   3711.712  -3776.772  -5449.683
      7.857   3765.823  -3792.386  -5395.500
      7.929   3819.798  -3793.571  -5343.328
      8.000   3854.087  -3799.950  -5249.184
      8.071   3919.839  -3820.121  -5149.348
      8.143   3960.015  -3825.388  -5068.561
      8.214   4004.559  -3818.884  -4991.735
      8.286   4076.106  -3765.952  -4943.524
      8.357   4134.604  -3665.050  -4852.601
      8.429   4211.106  -3599.530  -4768.649
      8.500   4248.362  -3559.210  -4697.357
      8.571   4251.221  -3531.260  -4619.119
      8.643   4278.554  -3522.083  -4574.120
      8.714   4275.680  -3503.338  -4525.786
      8.786   4293.719  -3519.250  -4491.890
      8.857   4304.735  -3511.974  -4449.588
      8.929   4288.449  -3484.939  -4390.715
      9.000   4317.978  -3475.616  -4394.586
      9.071   4348.664  -3435.587  -4399.363
      9.143   4402.592  -3407.686  -4360.323
      9.214   4455.125  -3368.327  -4350.022
      9.286   4482.473  -3323.641  -4320.664
      9.357   4565.895  -3292.211  -4320.004
      9.429   4626.187  -3240.401  -4303.184
      9.500   4676.566  -3183.672  -4276.497
      9.571   4696.234  -3172.166  -4191.526
      9.643   4706.359  -3165.317  -4123.776
      9.714   4729.741  -3154.563  -4062.964
      9.786   4773.966  -3139.995  -4020.342
      9.857   4826.034  -3133.127  -3971.832
      9.929   4865.531  -3075.543  -3942.421
     10.000   4875.378  -3061.670  -3888.001
     10.071   4948.926  -3028.406  -3867.981
     10.143   4975.384  -2964.857  -3849.550
     10.214   5035.694  -2938.018  -3796.127
     10.286   5081.492  -2883.823  -3760.006
     10.357   5130.561  -2838.108  -3703.965
     10.429   5173.841  -2793.107  -3671.463
     10.500   5190.616  -2769.472  -3620.854
     10.571   5232.659  -2685.054  -3628.191
     10.643   5291.532  -2604.058  -3628.055
     10.714   5305.274  -2493.958  -3597.535
     10.786   5306.245  -2474.637  -3538.541
     10.857   5293.941  -2440.619  -3464.683
     10.929   5244.876  -2343.729  -3375.523
     11.000   5250.580  -2284.784  -3343.063
     11.071   5291.895  -2237.308  -3336.255
     11.143   5298.311  -2164.687  -3315.696
     11.214   5333.543  -2105.951  -3298.284
     11.286   5338.579  -2066.960  -3242.287
     11.357   5361.679  -2033.576  -3204.147
