#t              L_tot_x        L_tot_y        L_tot_z        
          0.000     -11140.195     -20574.685     -13147.011
          0.071     -11090.675     -20538.360     -13126.445
          0.143     -11088.190     -20522.119     -13137.308
          0.214     -11128.715     -20505.853     -13168.822
          0.286     -11081.097     -20484.761     -13194.116
          0.357     -11082.510     -20450.660     -13263.055
          0.429     -11141.456     -20439.504     -13252.037
          0.500     -11173.195     -20411.905     -13222.211
          0.571     -11165.402     -20386.083     -13181.690
          0.643     -11174.156     -20398.923     -13087.287
          0.714     -11154.916     -20442.525     -13039.289
          0.786     -11125.376     -20428.683     -13042.230
          0.857     -11087.534     -20368.789     -13101.176
          0.929     -11006.229     -20313.150     -13216.898
          1.000     -10938.794     -20237.137     -13370.010
          1.071     -10921.725     -20155.721     -13453.234
          1.143     -10866.940     -20088.804     -13517.817
          1.214     -10859.288     -20044.542     -13547.895
          1.286     -10837.963     -19992.399     -13596.042
          1.357     -10847.409     -19965.033     -13645.072
          1.429     -10873.098     -19961.429     -13673.232
          1.500     -10871.776     -19938.741     -13647.294
          1.571     -10871.151     -19934.303     -13667.275
          1.643     -10883.943     -19928.799     -13687.311
          1.714     -10903.839     -19899.336     -13677.870
          1.786     -10889.665     -19892.021     -13661.414
          1.857     -10925.229     -19885.409     -13637.529
          1.929     -10956.358     -19853.435     -13636.289
          2.000     -10949.616     -19845.996     -13627.105
          2.071     -10976.023     -19833.544     -13594.843
          2.143     -10958.372     -19823.385     -13583.612
          2.214     -10923.656     -19826.732     -13560.886
          2.286     -10936.455     -19814.265     -13534.942
          2.357     -10943.862     -19810.453     -13542.634
          2.429     -10922.977     -19786.060     -13551.057
          2.500     -10922.713     -19760.276     -13560.810
          2.571     -10914.132     -19719.220     -13554.615
          2.643     -10926.473     -19675.921     -13563.056
          2.714     -10931.834     -19682.032     -13560.670
          2.786     -10936.119     -19637.278     -13553.745
          2.857     -10909.864     -19607.969     -13589.889
          2.929     -10899.327     -19606.807     -13580.303
          3.000     -10900.062     -19604.498     -13539.237
          3.071     -10870.087     -19594.780     -13539.028
          3.143     -10829.897     -19587.127     -13549.057
          3.214     -10811.145     -19577.009     -13594.917
          3.286     -10748.355     -19510.379     -13624.813
          3.357     -10682.332     -19531.845     -13668.924
          3.429     -10603.981     -19520.258     -13725.450
          3.500     -10536.240     -19491.229     -13733.625
          3.571     -10389.793     -19458.887     -13834.283
          3.643     -10247.718     -19406.797     -13967.990
          3.714     -10068.166     -19341.782     -14121.430
          3.786      -9704.778     -19295.411     -14424.540
          3.857      -9288.510     -19170.440     -14842.344
          3.929      -9226.520     -19072.007     -14951.639
          4.000     -10142.668     -18878.656     -14089.187
          4.071      -9226.619     -18529.833     -14342.516
          4.143      -8286.243     -18315.666     -14581.337
          4.214      -7607.798     -18191.593     -14555.975
          4.286      -7157.405     -18339.869     -14518.753
          4.357      -6864.141     -18512.273     -14465.888
          4.429      -6686.858     -18634.709     -14543.843
          4.500      -6556.183     -18710.856     -14722.141
          4.571      -6376.549     -18676.159     -14841.790
          4.643      -6171.233     -18568.480     -14870.135
          4.714      -5948.287     -18517.020     -14998.752
          4.786      -5766.912     -18487.338     -15057.859
          4.857      -5597.880     -18501.620     -15130.160
          4.929      -5434.817     -18465.270     -15233.701
          5.000      -5294.380     -18453.139     -15305.782
          5.071      -5156.879     -18436.735     -15401.869
          5.143      -5028.807     -18399.116     -15460.036
          5.214      -4944.793     -18412.654     -15447.428
          5.286      -4835.267     -18401.648     -15474.187
          5.357      -4725.548     -18401.491     -15480.983
          5.429      -4572.230     -18420.730     -15472.199
          5.500      -4395.143     -18441.915     -15480.633
          5.571      -4177.402     -18526.856     -15444.657
          5.643      -3835.731     -18621.485     -15341.985
          5.714      -3428.714     -18812.567     -15178.490
          5.786      -2812.572     -19360.514     -14635.802
          5.857      -1885.453     -20628.310     -14083.156
          5.929       -419.379     -20002.998     -15941.111
          6.000        464.321     -20750.543     -15722.991
          6.071        872.275     -21539.844     -14666.924
          6.143        785.761     -21992.591     -13150.511
          6.214        602.596     -23162.110     -10280.374
          6.286        471.001     -21462.592     -13720.846
          6.357         73.667     -21661.450     -13860.074
          6.429       -118.534     -21675.498     -13286.632
          6.500       -155.653     -21647.902     -12959.769
          6.571       -238.205     -21427.508     -12896.313
          6.643       -300.279     -21338.382     -12765.612
          6.714       -254.641     -21358.519     -12626.364
          6.786       -405.208     -21279.427     -12372.002
          6.857       -696.549     -21280.286     -12118.429
          6.929       -991.741     -21329.703     -11804.079
          7.000      -1162.905     -21269.630     -11597.929
          7.071      -1196.322     -21096.750     -11468.996
          7.143      -1226.064     -21068.600     -11229.644
          7.214      -1269.655     -21030.402     -10975.421
          7.286      -1301.490     -20993.117     -10736.694
          7.357      -1309.010     -20956.989     -10468.571
          7.429      -1280.908     -20908.136     -10198.446
          7.500      -1281.385     -20829.231      -9955.794
          7.571      -1270.981     -20772.478      -9683.650
          7.643      -1263.622     -20706.593      -9442.111
          7.714      -1261.103     -20656.501      -9223.557
          7.786      -1281.203     -20632.736      -8990.505
          7.857      -1345.472     -20591.651      -8751.549
          7.929      -1378.294     -20533.304      -8537.451
          8.000      -1418.871     -20436.960      -8364.972
          8.071      -1475.057     -20398.078      -8203.479
          8.143      -1562.836     -20378.479      -7995.461
          8.214      -1719.045     -20363.729      -7751.942
          8.286      -1727.889     -20301.432      -7589.382
          8.357      -1710.684     -20205.691      -7430.942
          8.429      -1687.164     -20153.714      -7262.583
          8.500      -1714.761     -20095.421      -7087.736
          8.571      -1805.874     -20031.291      -6892.300
          8.643      -1873.593     -19990.645      -6718.803
          8.714      -1986.845     -19885.053      -6573.707
          8.786      -2116.987     -19733.979      -6421.494
          8.857      -2197.972     -19611.004      -6287.983
          8.929      -2286.199     -19473.523      -6186.280
          9.000      -2375.769     -19299.758      -6071.570
          9.071      -2446.721     -19157.994      -5963.905
          9.143      -2510.995     -19020.854      -5861.290
          9.214      -2561.437     -18898.920      -5786.205
          9.286      -2623.358     -18786.402      -5690.361
          9.357      -2662.548     -18646.013      -5640.329
          9.429      -2708.093     -18451.275      -5557.880
          9.500      -2736.890     -18206.370      -5489.614
          9.571      -2795.664     -17992.408      -5429.427
          9.643      -2830.645     -17827.068      -5343.066
          9.714      -2869.279     -17634.364      -5255.068
          9.786      -2863.184     -17424.891      -5223.031
          9.857      -2879.163     -17180.373      -5191.237
          9.929      -2878.927     -16945.646      -5189.846
         10.000      -2900.988     -16682.408      -5186.369
         10.071      -2919.073     -16399.432      -5227.287
         10.143      -2961.752     -16133.192      -5251.145
         10.214      -2978.221     -15863.068      -5280.711
         10.286      -2985.101     -15608.066      -5278.478
         10.357      -2966.601     -15405.351      -5293.951
         10.429      -2984.617     -15206.866      -5322.104
         10.500      -2968.495     -15041.724      -5328.126
         10.571      -2926.113     -14875.990      -5375.439
         10.643      -2868.184     -14714.608      -5418.996
         10.714      -2841.112     -14625.487      -5416.601
         10.786      -2840.355     -14439.931      -5423.358
