#                   t       L_tot_shell_1       L_tot_shell_2       L_tot_shell_3       L_tot_shell_4       L_tot_shell_5       L_tot_shell_6       L_tot_shell_7       L_tot_shell_8       L_tot_shell_9      L_tot_shell_10      L_tot_shell_11      L_tot_shell_12      L_tot_shell_13      L_tot_shell_14      L_tot_shell_15      L_tot_shell_16      L_tot_shell_17      L_tot_shell_18      L_tot_shell_19      L_tot_shell_20      L_tot_shell_21      L_tot_shell_22      L_tot_shell_23      L_tot_shell_24      L_tot_shell_25      L_tot_shell_26      L_tot_shell_27      L_tot_shell_28      L_tot_shell_29      L_tot_shell_30      L_tot_shell_31      L_tot_shell_32      L_tot_shell_33      L_tot_shell_34      L_tot_shell_35      L_tot_shell_36      L_tot_shell_37      L_tot_shell_38      L_tot_shell_39      L_tot_shell_40      L_tot_shell_41      L_tot_shell_42      L_tot_shell_43      L_tot_shell_44      L_tot_shell_45      L_tot_shell_46      L_tot_shell_47      L_tot_shell_48      L_tot_shell_49      L_tot_shell_50      L_tot_shell_51      L_tot_shell_52      L_tot_shell_53      L_tot_shell_54      L_tot_shell_55      L_tot_shell_56      L_tot_shell_57      L_tot_shell_58      L_tot_shell_59      L_tot_shell_60      L_tot_shell_61      L_tot_shell_62      L_tot_shell_63      L_tot_shell_64      L_tot_shell_65      L_tot_shell_66      L_tot_shell_67      L_tot_shell_68      L_tot_shell_69      L_tot_shell_70      L_tot_shell_71      L_tot_shell_72      L_tot_shell_73      L_tot_shell_74      L_tot_shell_75      L_tot_shell_76      L_tot_shell_77      L_tot_shell_78      L_tot_shell_79      L_tot_shell_80      L_tot_shell_81      L_tot_shell_82      L_tot_shell_83      L_tot_shell_84      L_tot_shell_85      L_tot_shell_86      L_tot_shell_87      L_tot_shell_88      L_tot_shell_89      L_tot_shell_90      L_tot_shell_91      L_tot_shell_92      L_tot_shell_93      L_tot_shell_94      L_tot_shell_95      L_tot_shell_96      L_tot_shell_97      L_tot_shell_98      L_tot_shell_99     L_tot_shell_100
               5.714               0.000             103.803             130.684             342.656             496.452            2875.317            6101.956            9205.198           21262.046           31499.387           40289.311           28355.144           28128.491           27902.090           23192.784           23004.011           23652.987           23227.318           20893.855           13171.688           20569.993           22623.447           17654.480           17206.228           17746.208           15474.728           18065.337           17576.911           15958.675           14863.132           22131.240           15297.218           14066.815           21014.578           19658.747           13684.008           15771.253           16603.980           11471.703           13406.121           12918.618           17156.863           11470.256           11383.424            8460.358           13198.588           10983.131            8784.634            5082.847            9317.317            9790.237            8880.786           10539.820           11604.005            9771.704            8148.343            9028.299            4365.709            9012.531            9095.664           13364.516            8369.848            8464.406           10909.753            3830.174            5644.661            5357.673            9956.992            5942.730            6245.420            2013.593            4602.627            9328.963            9647.973            3284.137            8245.945            5093.424            3480.795            2206.309            6030.238            5970.752            5368.956            3145.002            2542.195            7468.231            2954.488            4759.290            7228.502            2545.107            4779.028            6563.575            7917.336            3525.044            2623.881            3181.620            3510.471            3548.733            4616.543            2988.328            2791.971
               6.286               0.000              44.958              90.188             179.439             533.821             859.288            1160.522            1483.106            2714.695             876.676            5182.638            4059.212            1868.578           13611.908           17182.748            8055.200           16441.426           19250.202           19794.205           25540.298           23553.148           26078.264           23987.911           23345.790           21678.179           21756.509           17654.563           16159.247           21379.063           15897.701           17562.281           15080.111           22622.124           12815.252           17988.567           20153.542           13983.096           12003.217           17048.695           22032.214           11911.909           16563.062           16236.458           12584.025            9020.546           15950.334           16028.450           12214.194            9105.210           10715.868           12802.047            1060.725           10530.743            6699.349            7874.069            8999.332            9035.569            5911.491            5418.519            4916.426            6108.219            3919.920           10242.563            5072.067            4725.763            9939.967            5234.066            4663.620            9876.228            3102.464            5281.753            4853.300            5670.992            3836.388            6685.183            5712.036            4870.911            7217.532            5553.044            2094.345            4715.173            2396.349            4967.872            6677.477            4084.322            4801.933            3865.004            6427.000            5350.603            2901.982            5561.725            8354.432            5251.641            1597.676            2895.864            4266.952            1554.304            4612.435            3480.344            4523.980
               6.857              16.497              26.474              78.193             318.967             977.239             656.564            1224.653             876.211            1089.661            2940.630            2171.104            1552.339            9043.132            4032.470           12999.190           12856.987           12530.042           12411.423           13830.969           13996.652           10630.935           17644.279           14964.409           15184.105           16512.282           16184.843           19854.597           17722.434           16467.022           18129.047           21518.395           17555.728           15020.801           17455.986           18217.614           14702.678           14662.111           20316.501           11591.104           13146.679           14618.498           10550.793           11500.144           10690.131           13172.555            8931.029            9326.697           17265.436            9123.032           12240.588           12615.436            6194.971           12266.203            7580.326            7012.295            9824.944            8937.659            8849.222           10314.886           11871.000            5816.435            6976.283            9079.456            7762.334            6128.346           12659.276            4586.473            6827.439            3067.065            2186.938            3373.716            8564.903            9977.263            4086.961            6202.982            5490.807            5012.761            5821.323            7578.360            5468.743            7054.971            4061.081            2096.706            3469.528            6723.726            9056.338            7592.773            6871.411            4499.044            3103.926            3731.618            6237.722            7424.121            5544.780            7078.650            6358.985            7721.725            4456.478            5424.008            4427.159
               7.429               8.409              58.907              84.654             523.980             603.670            1329.534             518.118             493.554            2899.233            4699.995            4182.219            5426.587            6366.765            9156.286            6382.967           10798.090           11542.161           10871.666            8832.175           13798.238           13832.532           12976.678           15946.660           12222.303            9812.740           14792.735           14597.624           11641.058           13976.989           12166.639           13090.042           16088.949           12976.926           15321.105           15167.816           17818.156           19796.231           15527.082           13707.218            7910.854           11816.386           18092.072           13930.331           13882.888           13145.283            8713.331           11969.003            7763.411            5950.949            8539.280           17318.104            8172.626           11128.876            8393.274           10275.213            8457.269            8570.117           10428.721           14248.526            5335.594            6042.889           12822.253            8856.992            7472.450            6998.817            7358.925            8510.399            9052.662            7118.304           10478.644            9423.860            6866.399            7694.570            5103.492            4099.847            8331.181            6522.326            6357.433            8008.674            4171.048            4116.713            5036.364            5231.505            3975.940            3174.686            4037.153            7502.420            4557.976            5356.081            9146.597            6894.159            8658.263            2954.630            4724.978            8203.589            8123.244            2816.216            4659.562            4034.138            9306.389
               8.000              10.420              47.164             164.532             454.839             629.206            1588.552             932.106            3355.169            3066.831            8775.842            8190.143            6297.264            8170.141            9342.244           11460.136            7885.988           10457.851            8741.803           14886.535            7891.916            7559.560            8441.308           10990.982            6715.049           11696.200            9571.054           12096.807           10424.301           12996.552           11182.614           14818.201           16391.302           16026.094           12808.036            8137.517           12751.646           15312.234           15560.042           13262.827           13846.510           15243.359           14890.606            9995.046           13695.422            8217.879            9668.126           17111.070           11048.930           10847.239           13919.090            8356.719            6656.337           13450.138           10354.571            9463.255            9730.483            8481.953            7249.347           13347.488            9048.862           10320.765            8537.187            4616.728            3080.037            7197.633           10074.492           10563.777           11744.608           11495.085            5538.479            9767.678            7101.836           10929.096            5217.022            4863.942            2688.581           10865.667            6900.202            9568.127            5985.852            3477.870            7702.603            6306.527            3189.260            3356.419            3734.077            5993.356            6250.182            2224.677            7608.400            6358.838            2573.902            4297.382            5560.439            8009.202            5025.063            6409.928            3883.367            5885.072            8357.942
               8.571               6.818              99.817             270.895             434.154             529.083            1459.946            2192.082            1231.018            4586.585            9041.923            4233.572            3865.403           10548.270           11041.292            7607.519            9287.874            9638.980           12621.337            9229.951            6960.577            6820.340            8106.805            7172.742           11802.700            8597.509           10914.914           11134.503            9588.750           12492.824           11928.737            8511.186           16088.751           12051.598           12555.123           10926.931           12139.743           12726.602           11352.749           11713.019           12112.235           20765.280           10681.439           13611.633           15410.866           10304.204           12723.585           16625.687           10047.074           11960.441           10436.889           10534.399           11307.311           11979.376            6100.211           12861.168           10294.975            9028.128            6187.932           12582.902            5728.127            8958.999            6902.870            9179.073            3111.714            9943.412            8620.887            5617.656           11172.741            4806.518            6634.747            8650.284            9249.551            8171.573            6735.397            9078.094            8160.462            6820.585            6011.037            5524.243            4991.733            7475.790            3346.813            4093.288           11803.232            5612.682            5135.926            6058.644            2810.859            3990.108            6417.038            5070.835            9514.153           12518.761            1993.449            4304.828            2862.383            5401.254            3462.867            3811.164            5987.855
               9.143              37.032             210.378             318.847             861.248             984.519            1152.804            3562.239            3489.690            4594.555            3400.901            7457.778            8494.902            5163.232            8913.611            5908.137            9278.152           12104.211            5911.254            7439.530            9577.144           11060.137            7611.901           11097.499           10266.383           11481.073            9366.425            7581.159           11550.194           12005.674            9285.580           10632.532            6147.001            9970.478           12719.969           14563.424           14215.027           14032.127           11062.084           10870.236           14771.220           17833.453           11367.692           14968.171           11797.111           14264.254           12830.724           11437.448            9093.171            9796.586           16645.645           13658.019            8290.904           12815.567            3629.463            7656.811           10820.548            6889.201            7428.308            7929.168            7183.320            9336.276            6657.075           12156.936            8573.698            6611.642            3933.996            4585.623            7774.906            8163.328            5725.879            8712.750            7390.449            6748.045            5731.638            7410.919            9547.479            9913.990            8682.982            4160.749            3222.881            6302.230            8223.000            6180.190            5951.942            3599.746            8281.568            6548.366            8624.050            4147.203            4410.216            7375.638            2423.233            6156.245            4877.401            2471.023            2366.482            8834.155            5458.110            1575.970            5803.875
               9.714               6.900             135.151             192.779             942.489            1075.360            1605.099            2944.201            2262.654            5353.871            7563.008            8188.446            5887.342            7039.473            6997.517            7217.385            7250.747            4825.876            9407.252            5331.681            8962.071           10586.386           11524.461           10248.889            9220.052           11980.329           12141.199           13014.213            5615.256           10734.888           12603.600            8442.848           12705.869            8415.538            9585.444           11167.983            9289.019           12407.767           15672.963           14802.235           11163.042           17762.523           14294.536            8126.309           17096.025           13359.505           14793.607           15329.960           11554.225           10934.820            9482.119            7175.525            8083.971            8571.320           12803.721            7084.011            5775.439            5306.303           10596.690            9394.917            5721.105            7396.998            8275.529            6282.607            8316.511            7032.058            9293.366            4828.365            4203.731            7457.845            7105.620            7862.093            8114.006            6994.992            8813.795            3104.803           10593.431            8050.839            5351.605            2841.451            8674.447            6920.865            6748.219            4548.988            1317.177            4276.996            7400.525            5559.702            5772.162            1911.078            6023.269            3876.932            6922.211            2372.177            3502.169            3239.536            3862.456            7680.202            1861.198            4015.197            3599.359
              10.286              38.133             134.679             531.890             602.433            1464.959            2524.745            2636.659            4510.627            7248.134            5630.341            5955.147            6484.048           10825.260           10772.695           10102.585            7113.575           10222.085           11345.365            7086.837            8623.834            9773.605           11428.803            7459.663           14597.217            8999.506           13174.269            9985.251            9284.510           10214.060            8886.627            5740.412           11304.008           10568.779            6719.305            8873.981            8551.657            9886.230           14447.155           13357.519           11124.305           10930.121           12813.913           13694.392           10272.479           16703.371           13641.166           11594.178           14256.383            7485.071           10488.072           10283.288            7514.704            9663.607            9877.225            8605.598            9432.617            6396.337            5309.454            8864.149            5323.164           12396.280            2595.587            4685.662            4916.984            5214.353            2732.302            8612.639            7322.813            7669.025            5788.841            4345.410            9682.178            4541.457            4010.307            5022.023            6302.567            8922.066             935.317            6009.730            7512.451            5817.896            9687.728            5996.337            3619.744            4311.808            4052.651            6248.867            3886.407            2908.723            1907.273            8255.524            2319.645            6557.463            3691.556            3115.024            4243.900            3676.034            4853.534            8014.692            4517.591
              10.857              13.257             102.215             418.279             689.763             995.967            1653.889            1490.288            1881.118            4710.158            8037.322            6108.694            5400.471           10470.960           11314.415           12836.209            9509.588           10894.230           13093.369           12091.174           13411.855            6544.454           11031.726           11167.682            7891.902           12449.245           11710.500            9887.377           15531.996           10561.720           11952.468           12773.486           12230.158            7197.871           17061.159           10447.262            8182.652            6125.014           11025.755            8974.952           10140.208           12883.777            7447.988            7760.851           14843.866           11034.712           11882.080            8778.656           10938.685           13206.000            9181.682            9401.508            9868.689            9050.204            9546.535           10534.921           10079.774            9351.227            7603.374            8213.701            3753.421            6141.191            4767.619            5316.862            4658.404            4859.136            6901.667            8335.538            5619.031            7606.512            8923.350            3980.034            4528.977            7759.906            2436.073            4231.813            6493.662            1626.811            6290.952            6025.508            2997.476            3199.585            4979.487            3349.551            3777.935            4783.553            2094.633            5701.549            9972.148            5825.634            7265.168            3465.255            7437.043            2177.147            5997.883            1117.381            3388.789            2535.096            4916.193            8700.600            4255.310
